timestamp,Kp,Ki,Kd
26268901,1.2999999523162842,0.5,0
58458852,4,0.03,0.06
68109187,4,0.03,0.06
71604568,4,0.03,0.06
102275901,4,0.03,0.04
142507000,4,0.03,0.05
168159469,3.5,0.03,0.05
210889107,3.5,0.02,0.05
311122845,3.5000000000000004,0.020000000000000004,0.05
319552039,3,0.020000000000000004,0.05
366486908,2.5,0.020000000000000004,0.05
419596126,2,0.020000000000000004,0.05
451772196,2,0.020000000000000004,0.06
520702657,1.5,0.020000000000000004,0.06
552652120,1,0.020000000000000004,0.06
567700635,1,0.020000000000000004,0.06
569030671,1,0.020000000000000004,0.06
